Fri Jun 11 23:24:16 BRT 2021 - Log - Iniciou a aplicacao1

Sat Jun 12 17:12:26 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:30 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:33 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:37 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:41 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:44 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:47 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:51 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:54 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:58 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:01 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:05 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:08 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:11 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:14 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:18 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:21 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:24 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:28 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:31 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:34 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:38 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:41 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:44 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:48 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:51 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:55 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:13:58 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:02 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:05 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:09 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:12 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:16 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:19 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:23 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:26 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:29 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:33 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:36 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:40 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:43 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:46 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:49 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:53 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:56 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:14:59 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:02 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:06 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:09 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:13 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:16 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:20 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:23 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:27 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:15:30 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:56:25 BRT 2021 - Log - Iniciou a aplicacao
Sat Jun 12 17:57:37 BRT 2021 - Log - Iniciou a aplicacao
Sat Jun 12 17:58:08 BRT 2021 - Log - Login realizado com sucesso
Sat Jun 12 17:58:15 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:58:19 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:58:24 BRT 2021 - Log - Inserindo dados na Ram
Sat Jun 12 17:58:25 BRT 2021 - Log - Inserindo dados na Ram
Sat Jun 12 17:58:27 BRT 2021 - Log - Inserindo dados na Ram
Sat Jun 12 17:58:36 BRT 2021 - Log - Inserir dados em Discos
Sat Jun 12 17:58:37 BRT 2021 - Log - Inserir dados em Discos
Sat Jun 12 17:58:39 BRT 2021 - Log - Inserir dados em Discos
Sat Jun 12 17:58:40 BRT 2021 - Log - Fechou a aplicação
Sat Jun 12 17:58:40 BRT 2021 - Log - Inserir dados em Discos
Mon Jun 14 04:10:26 BRT 2021 - Log - Iniciou a aplicacao
Mon Jun 14 04:13:56 BRT 2021 - Log - Login realizado com sucesso
Mon Jun 14 04:14:08 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:12 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:15 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:20 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:24 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:28 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:33 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:37 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:41 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:45 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:49 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:14:56 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:01 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:05 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:09 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:13 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:17 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:21 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:25 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:29 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:33 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:37 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:41 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:45 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:49 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:54 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:15:58 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:02 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:05 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:09 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:13 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:18 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:27 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:31 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:35 BRT 2021 - Log - Inseriu os dados da CPU
